"","Year","Variety","SD","Soil","Mngt","max_value_GY","max_value_lai"
"274",2002,"C3","01/01","DSrain6mm","Rainfed",0.302236635405082,1.95876564147403
"275",2002,"C3","01/01","DSrain6mm","Rainfed_true",0.104469280864838,1.65314665859934
"276",2002,"C3","01/01","DSrain6mm","Transplanting",348.606594921854,13.0642626624966
"277",2002,"C3","01/02","DSrain12mm","DSirrg",0.64457583409263,2.87001418905302
"278",2002,"C3","01/02","DSrain12mm","Rainfed",0.0266675893011336,1.65342609838702
"279",2002,"C3","01/02","DSrain12mm","Rainfed_true",0,1.08670117940446
"280",2002,"C3","01/02","DSrain12mm","Transplanting",0.488873793406299,11.9365756989802
"281",2002,"C3","01/02","DSrain3mm","DSirrg",0.636982803054324,2.79170908108163
"282",2002,"C3","01/02","DSrain3mm","Rainfed",0.02988829893622,1.84048106398636
"283",2002,"C3","01/02","DSrain3mm","Rainfed_true",0,1.30419160843496
"284",2002,"C3","01/02","DSrain3mm","Transplanting",0.481353615650017,11.8469878533013
"285",2002,"C3","01/02","DSrain6mm","DSirrg",0.641036361247963,2.83313538040825
"286",2002,"C3","01/02","DSrain6mm","Rainfed",0.0331071912068835,1.70649910234578
"287",2002,"C3","01/02","DSrain6mm","Rainfed_true",0,1.15626772945151
"288",2002,"C3","01/02","DSrain6mm","Transplanting",0.486184489632549,11.8898253973079
"289",2002,"C3","01/09","DSrain12mm","DSirrg",3339.10285405055,5.19218245698244
"290",2002,"C3","01/09","DSrain12mm","Rainfed",2696.62962637096,4.65228133824936
"291",2002,"C3","01/09","DSrain12mm","Rainfed_true",2101.20486586068,3.8900288167054
"292",2002,"C3","01/09","DSrain12mm","Transplanting",4682.60316566302,4.87993394787501
"293",2002,"C3","01/09","DSrain3mm","DSirrg",3269.37398819259,5.06548120732521
"294",2002,"C3","01/09","DSrain3mm","Rainfed",2796.21071169724,4.40081109086257
"295",2002,"C3","01/09","DSrain3mm","Rainfed_true",2552.53543159458,3.9381376218098
"296",2002,"C3","01/09","DSrain3mm","Transplanting",4669.6816242412,4.80190826503908
"297",2002,"C3","01/09","DSrain6mm","DSirrg",3319.96045747956,5.16525489256999
"298",2002,"C3","01/09","DSrain6mm","Rainfed",3036.24585312311,4.8478978837753
"299",2002,"C3","01/09","DSrain6mm","Rainfed_true",2416.23118190289,4.04920630403567
"300",2002,"C3","01/09","DSrain6mm","Transplanting",4694.5902615492,4.84860019895981
"301",2002,"C3","01/10","DSrain12mm","DSirrg",3339.10285405055,5.19218245698244
"302",2002,"C3","01/10","DSrain12mm","Rainfed",2696.62613695578,4.65228201880095
"303",2002,"C3","01/10","DSrain12mm","Rainfed_true",2101.45698394017,3.88991344740243
"304",2002,"C3","01/10","DSrain12mm","Transplanting",4158.92022424945,10.9719517622084
"305",2002,"C3","01/10","DSrain3mm","DSirrg",3269.37398819259,5.06548120732521
"306",2002,"C3","01/10","DSrain3mm","Rainfed",2796.21768561018,4.40083621324742
